"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 22 22:23:02 GMT 2024","Mon Jan 22 22:23:08 GMT 2024","5845","","tests.ru.imgbb.com.tests.UploadFileTest","","tests.ru.imgbb.com.tests.UploadFileTest","successfulFileUploadWithLogin","Успешная загрузка файла после входа в аккаунт",""
"passed","Mon Jan 22 22:22:56 GMT 2024","Mon Jan 22 22:23:02 GMT 2024","5433","","tests.ru.imgbb.com.tests.UploadFileTest","","tests.ru.imgbb.com.tests.UploadFileTest","successfulFileUploadWithOutLogin","Успешная загрузка файла без логина",""
