"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Загрузка файла","Пользователь загружает файл поcле входа в аккаунт","0","1","0","0","0"
"","Загрузка файла","Пользователь загружает файл без входа в аккаунт","0","1","0","0","0"
